Project: /root/B6_ORCA_campaign
Calculation root: /root/B6_ORCA_campaign/calculations/stage1
ORCA command: /root/ORCA_WORK/software/orca611_clean_test/orca_6_1_1_linux_x86-64_shared_openmpi418_nodmrg/orca
DONE  2026-05-01 06:31:50 /root/B6_ORCA_campaign/calculations/stage1/B6_octahedral_3d_d1.80_q0_m5_R2SCAN-3C/B6_octahedral_3d_d1.80_q0_m5_R2SCAN-3C.inp
START 2026-05-01 06:31:50 /root/B6_ORCA_campaign/calculations/stage1/B6_octahedral_3d_d2.00_q0_m1_R2SCAN-3C/B6_octahedral_3d_d2.00_q0_m1_R2SCAN-3C.inp
DONE  2026-05-01 06:33:49 /root/B6_ORCA_campaign/calculations/stage1/B6_octahedral_3d_d2.00_q0_m1_R2SCAN-3C/B6_octahedral_3d_d2.00_q0_m1_R2SCAN-3C.inp
START 2026-05-01 06:33:49 /root/B6_ORCA_campaign/calculations/stage1/B6_octahedral_3d_d2.00_q0_m3_R2SCAN-3C/B6_octahedral_3d_d2.00_q0_m3_R2SCAN-3C.inp
DONE  2026-05-01 06:35:37 /root/B6_ORCA_campaign/calculations/stage1/B6_octahedral_3d_d2.00_q0_m3_R2SCAN-3C/B6_octahedral_3d_d2.00_q0_m3_R2SCAN-3C.inp
START 2026-05-01 06:35:37 /root/B6_ORCA_campaign/calculations/stage1/B6_octahedral_3d_d2.00_q0_m5_R2SCAN-3C/B6_octahedral_3d_d2.00_q0_m5_R2SCAN-3C.inp
DONE  2026-05-01 06:42:02 /root/B6_ORCA_campaign/calculations/stage1/B6_octahedral_3d_d2.00_q0_m5_R2SCAN-3C/B6_octahedral_3d_d2.00_q0_m5_R2SCAN-3C.inp
START 2026-05-01 06:42:02 /root/B6_ORCA_campaign/calculations/stage1/B6_octahedral_3d_d2.20_q0_m1_R2SCAN-3C/B6_octahedral_3d_d2.20_q0_m1_R2SCAN-3C.inp
DONE  2026-05-01 06:43:45 /root/B6_ORCA_campaign/calculations/stage1/B6_octahedral_3d_d2.20_q0_m1_R2SCAN-3C/B6_octahedral_3d_d2.20_q0_m1_R2SCAN-3C.inp
START 2026-05-01 06:43:45 /root/B6_ORCA_campaign/calculations/stage1/B6_octahedral_3d_d2.20_q0_m3_R2SCAN-3C/B6_octahedral_3d_d2.20_q0_m3_R2SCAN-3C.inp
DONE  2026-05-01 07:03:22 /root/B6_ORCA_campaign/calculations/stage1/B6_octahedral_3d_d2.20_q0_m3_R2SCAN-3C/B6_octahedral_3d_d2.20_q0_m3_R2SCAN-3C.inp
START 2026-05-01 07:03:22 /root/B6_ORCA_campaign/calculations/stage1/B6_octahedral_3d_d2.20_q0_m5_R2SCAN-3C/B6_octahedral_3d_d2.20_q0_m5_R2SCAN-3C.inp
DONE  2026-05-01 07:09:37 /root/B6_ORCA_campaign/calculations/stage1/B6_octahedral_3d_d2.20_q0_m5_R2SCAN-3C/B6_octahedral_3d_d2.20_q0_m5_R2SCAN-3C.inp
START 2026-05-01 07:09:38 /root/B6_ORCA_campaign/calculations/stage1/B6_octahedral_3d_d2.50_q0_m1_R2SCAN-3C/B6_octahedral_3d_d2.50_q0_m1_R2SCAN-3C.inp
DONE  2026-05-01 07:19:03 /root/B6_ORCA_campaign/calculations/stage1/B6_octahedral_3d_d2.50_q0_m1_R2SCAN-3C/B6_octahedral_3d_d2.50_q0_m1_R2SCAN-3C.inp
START 2026-05-01 07:19:03 /root/B6_ORCA_campaign/calculations/stage1/B6_octahedral_3d_d2.50_q0_m3_R2SCAN-3C/B6_octahedral_3d_d2.50_q0_m3_R2SCAN-3C.inp
DONE  2026-05-01 07:25:21 /root/B6_ORCA_campaign/calculations/stage1/B6_octahedral_3d_d2.50_q0_m3_R2SCAN-3C/B6_octahedral_3d_d2.50_q0_m3_R2SCAN-3C.inp
START 2026-05-01 07:25:21 /root/B6_ORCA_campaign/calculations/stage1/B6_octahedral_3d_d2.50_q0_m5_R2SCAN-3C/B6_octahedral_3d_d2.50_q0_m5_R2SCAN-3C.inp
DONE  2026-05-01 07:34:54 /root/B6_ORCA_campaign/calculations/stage1/B6_octahedral_3d_d2.50_q0_m5_R2SCAN-3C/B6_octahedral_3d_d2.50_q0_m5_R2SCAN-3C.inp
START 2026-05-01 07:34:54 /root/B6_ORCA_campaign/calculations/stage1/B6_octahedral_3d_d3.00_q0_m1_R2SCAN-3C/B6_octahedral_3d_d3.00_q0_m1_R2SCAN-3C.inp
DONE  2026-05-01 07:43:59 /root/B6_ORCA_campaign/calculations/stage1/B6_octahedral_3d_d3.00_q0_m1_R2SCAN-3C/B6_octahedral_3d_d3.00_q0_m1_R2SCAN-3C.inp
START 2026-05-01 07:43:59 /root/B6_ORCA_campaign/calculations/stage1/B6_octahedral_3d_d3.00_q0_m3_R2SCAN-3C/B6_octahedral_3d_d3.00_q0_m3_R2SCAN-3C.inp
DONE  2026-05-01 07:55:51 /root/B6_ORCA_campaign/calculations/stage1/B6_octahedral_3d_d3.00_q0_m3_R2SCAN-3C/B6_octahedral_3d_d3.00_q0_m3_R2SCAN-3C.inp
